,name,fold,auc,params,estimator
0,appendicitis,0,0.6117647058823529,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
1,appendicitis,0,0.6117647058823529,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
2,appendicitis,1,0.6617647058823529,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
3,appendicitis,1,0.6617647058823529,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
4,appendicitis,2,0.7867647058823529,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
5,appendicitis,2,0.7867647058823529,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
6,appendicitis,3,0.7205882352941175,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
7,appendicitis,3,0.7205882352941175,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
8,appendicitis,4,0.7205882352941175,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
9,appendicitis,4,0.7205882352941175,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
10,appendicitis,5,0.46470588235294114,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
11,appendicitis,5,0.46470588235294114,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
12,appendicitis,6,0.7205882352941175,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
13,appendicitis,6,0.7205882352941175,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
14,appendicitis,7,0.6323529411764706,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
15,appendicitis,7,0.6323529411764706,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
16,appendicitis,8,0.5955882352941176,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
17,appendicitis,8,0.5955882352941176,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
18,appendicitis,9,0.8161764705882352,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
19,appendicitis,9,0.8161764705882352,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
20,appendicitis,10,0.5823529411764705,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
21,appendicitis,10,0.5823529411764705,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
22,appendicitis,11,0.6617647058823529,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
23,appendicitis,11,0.6617647058823529,"{'random_state': 5, 'operator': '<='}",OperatorDecisionTreeClassifier
24,appendicitis,12,0.6323529411764706,"{'random_state': 5, 'operator': '<'}",OperatorDecisionTreeClassifier
